entre, between
nerveux, nervous
banque, bank
armand, armand
appartient, belongs
prie, pray
certitude, certainty
anciennes, old
tué, killed
tableaux, Tables
budget, budget
boue, mud
vienne, come
cellules, cells
apporter, bring
nue, naked
laine, wool
dames, Ladies
apporte, provides
vision, vision
vierge, virgin
transports, transport
sommet, top
content, happy
connue, known
adulte, adult
françois, françois
juju, juju
conséquent, Therefore
vivait, lived
tourisme, tourism
stade, stage
rencontré, met
bonjour, hello
tables, tables
former, form
zones, areas
pêche, fishing
association, association
réellement, really
réelle, real
duquel, whose
chiffre, figure
resta, remained
fièvre, fever
complexes, complex
gars, guy
soirée, evening
revenait, returned
amoureux, in love
capitale, capital
bar, bar
traces, traces
marcel, marcel
jeta, threw
admettre, admit
semblables, similar
générales, General
crédit, credit
boulevard, boulevard
substance, substance
lalla, lalla
agent, agent
rayonnement, radiance
circulation, traffic
résulte, results
lointain, distant
absolu, absolute
efficacité, effectiveness
courte, short
montant, amount
spécialement, specially
rideau, curtain
retenir, retain
récit, story
invisible, invisible
auxquelles, which
articles, Articles
chant, song
historien, historian
chaude, hot
quatrième, fourth
présentent, have
voyant, Seeing
vivante, living
fournir, provide
distribution, distribution
scolaire, school
mécanisme, mechanism
voudrait, would want
servi, served
fine, delicate
courbe, curve
soie, silk
paupières, eyelids
nus, naked
tombé, fell
déterminer, determine
costume, costume
nécessairement, necessarily
initiative, initiative
pousser, push
col, collar
rencontrer, meet
orientation, orientation
indépendance, independence
dut, had
jésus, Jesus
flotte, fleet
obligé, forced
intérieure, inner
manifeste, manifest
fleuve, river
commandement, command
ange, angel
york, york
retourna, back
fixer, fix
extension, extension
efficace, effective
tissu, tissue
plafond, ceiling
martin, martin
différences, differences
constante, constant
commande, order
cherchait, sought
université, university
relève, is
règne, reign
physiques, physical
misère, misery
larges, large
construire, build
admis, admitted
caoutchouc, rubber
ressemble, like
levant, rising
exception, exception
armées, Armed
voire, indeed
totalité, totality
parfum, perfume
solange, solange
constater, note
senti, felt
photo, photo
net, net
sources, sources
pantalon, pants
fortement, strongly
poussé, driven
commissions, Commissions
avril, April
américaine, American
songe, dream
laurent, laurent
tenté, attempted
perte, loss
jolie, pretty
serai, will
atelier, workshop
alcool, alcohol
sel, salt
russes, Russian
parlant, speaking
opéra, opera
manquait, missing
crime, crime
tourna, turned
remarquer, note
voisine, neighboring
investissements, investments
barbe, beard
allant, from
infini, infinite
suisse, Swiss
relative, on
modèles, models
frantz, Frantz
auront, will
personnalité, personality
considéré, considered
souriant, smiling
revue, review
privée, Private
entretien, maintenance
roues, wheels
regardé, watched
primaire, primary
nucléaire, nuclear
accent, accent
quasi, almost
maréchal, marshal
levé, survey
sauvage, wild
menace, threat
distinction, distinction
apparaissent, appear
couché, recumbent
marguerite, daisy
distingue, distinguishes
virus, virus
dossier, file
plaine, plain
hélas, unfortunately
cacher, hide
acquis, acquired
maladies, diseases
fidèle, faithful
cycle, cycle
comparaison, comparison
international, international
curé, priest
classification, classification
appui, support
abbé, abbot
prévoir, predict
préciser, specify
hâte, hurry
existait, was
développer, develop
ridicule, ridiculous
charbon, coal
réduire, reduce
race, race
lecteur, reader
immeuble, building
sienne, his
médecine, medicine
luxe, luxury
joli, nice
idéal, ideal
désespoir, despair
clos, closed
centaines, Hundreds
arc, arc
ouverts, open
milieux, environments
empereur, emperor
cerveau, brain
appareils, devices
albert, albert
morceaux, parts
laboratoire, laboratory
dispose, has
pleins, full
commissaire, commissioner
titres, securities
inquiétude, concern
aisément, easily
vaguement, vaguely
statut, status
firent, did
plume, pen
aurai, have
sensation, sensation
fins, for
carré, square
avantages, benefits
incapable, unable
constituer, form
milliards, billion
mathématiques, mathematics
johanna, johanna
assurance, insurance
province, province
notions, notions
expansion, expansion
devais, had
tours, towers
progressivement, progressively
murmura, murmured
messieurs, gentlemen
gêne, discomfort
fréquence, frequency
balles, balls
seins, breasts
secrets, secrets
remarquable, remarkable
ombres, shading
agricoles, agricultural
posée, asked
lueur, glow
exigences, requirements
ailes, wings
lycée, high school
conclusion, conclusion
charges, loads
ressemblait, like
résoudre, solve
iii, iii
espère, hope
clairement, clearly
travailleurs, workers
travaille, works
régulièrement, regularly
jouait, played
définitivement, finally
veste, jacket
règlement, settlement
excès, excess
employé, employee
ciment, cement
remis, given
poisson, fish
chargés, loaded
récemment, recently
prétexte, pretext
pardon, forgiveness
exprime, expresses
bel, beautiful
automne, fall
préfère, prefers
crier, shout
copains, guys
bartholoméus, Bartholomeus
phase, phase
hauts, high
pensez, think
oooo, oooo
navire, ship
magasin, store
département, department
suzanne, suzanne
soeurs, sisters
précieux, precious
désordre, disorder
tristesse, sadness
semblant, semblance
quoique, though
description, description
climat, climate
voyages, traveling
ronde, round
frappé, hit
canal, channel
vigueur, force
promis, promised
observe, observed
devint, became
boîtes, boxes
utilisé, used
amant, lover
ouvrier, worker
malheureusement, unfortunately
grille, grid
forêts, forests
collective, collective
annonce, announcement
changements, changes
autorités, authorities
puissant, powerful
membre, member
réforme, reform
proportion, proportion
parc, park
message, message
essaie, tries
verte, Green
sortait, out
risques, risk
renseignements, information
séjour, stay
montagnes, mountains
marbre, marble
géographie, geography
classiques, classical
académie, academy
venise, venice
sèche, dry
poussée, thrust
portrait, portrait
actuel, current
suffisait, enough
soins, care
revenus, earnings
perdue, lost
industrielle, Industrial
paru, published
sauver, save
nationaux, national
couteau, knife
chaussée, roadway
cave, cellar
auto, auto
frappe, strike
fig, fig
ensembles, sets
aménagement, planning
pût, could
formules, formulas
accident, accident
tourné, turned
linge, washing
entra, entered
connus, known
volant, flying
novembre, November
pente, slope
parfaite, perfect
nouvel, new
niveaux, levels
faibles, low
crie, Cree
clients, customers
taches, spots
gestion, management
considère, considers
sucre, sugar
paille, straw
fraîche, fresh
bébé, baby
venant, from
remonter, ascend
prêts, ready
jules, jules
cria, cried
bâtiments, buildings
bain, bath
forment, form
silencieux, silent
poissons, fish
perd, loses
dangereux, dangerous
solutions, solutions
propose, offers
bloc, block
royaume, kingdom
portent, are
flamme, flame
décembre, December
illusion, illusion
sensibilité, sensitivity
pomme, apple
convention, convention
soldat, soldier
bases, bases
thé, tea
meilleurs, best
imposer, impose
naître, be born
graves, serious
envoyé, envoy
chine, China
chère, dear
blonde, Blonde
ressort, spring
poing, fist
périodes, periods
instinct, instinct
institut, institute
estime, esteem
envoyer, send
capables, can
positions, positions
manifestations, events
locaux, Local
tournait, turned
souffrir, suffer
marins, marine
paule, paule
office, office
tenter, attempt
reprises, times
savons, know
secondaire, secondary
rupture, break
feux, fires
engrais, fertilizer
découvre, discovers
pandora, pandora
avenue, Avenue
seine, seine
chaussures, shoes
arriva, arrived
souris, mouse
particulières, Special
oublie, forget
nommé, named
eus, had
mettent, are
couverture, coverage
colonel, colonel
triomphe, triumph
quitte, quits
juger, judge
allemande, German
ménage, household
cabinet, cabinet
sacs, bags
nuque, neck
lucien, lucien
dimension, dimension
cuisses, thighs
indifférence, indifference
fus, was
adam, Adam
xxe, twentieth
tombait, fell
temple, temple
reprend, back
répète, repeat
participation, participation
interne, internal
banc, bench
axe, axis
tension, voltage
locales, local
programmes, programs
ennemis, enemies
adèle, adèle
truc, trick
trouvaient, were
jardins, gardens
fruit, fruit
fréquemment, frequently
procès, trial
pis, udder
passée, last
ouvrait, opened
onze, eleven
places, places
miracle, miracle
bouger, move
gabriel, gabriel
voile, veil
vente, sale
exercer, exercise
chances, odds
bureaux, offices
tabac, tobacco
possession, possession
constitué, up
investissement, investment
fameux, famous
visible, visible
traduit, translated
manche, handle
introduit, introduced
enfer, hell
destinée, destiny
théories, theories
richesse, wealth
paradis, paradise
mec, guy
intime, intimate
gardé, guarded
fausse, false
deviennent, become
cuivre, copper
vallée, valley
principales, main
maigre, lean
foyer, home
signifie, means
révèle, reveals
profession, profession
marchait, walking
intervenir, intervene
gré, will
conflit, conflict
riant, laughing
personnelle, personal
laissez, let
chalumot, chalumot
rendement, yield
tombée, fall
tiennent, take
tâches, tasks
supporter, support
trouble, disorder
mesurer, measure
janvier, January
chinois, Chinese
analogue, analogous
variables, variables
suivantes, following
ordonnance, order
génération, generation
clarté, clarity
sauter, jump
racines, roots
pommes, apples
littéraire, literary
foutre, fuck
rentre, returns
disque, disk
constamment, constantly
procédure, procedure
apercevoir, see
promenade, walk
organisations, organizations
finances, finances
catherine, catherine
rage, rage
fussent, were
servait, served
nourriture, food
moral, moral
lien, link
conserver, keep
bleus, blue
tendit, handed
talent, talent
lumières, lights
exerce, has
collaboration, collaboration
sélim, Selim
remarqué, noticed
populations, people
journées, days
concentration, concentration
refus, refusal
britanniques, British
soigneusement, carefully
infiniment, infinitely
territoires, territories
répondait, answered
pension, pension
mépris, contempt
spécial, special
représenter, represent
délai, time
mises, put
dignité, dignity
objectif, objective
gilbert, gilbert
employés, employees
doctrine, doctrine
bains, bathing
sien, his
placer, place
juifs, Jews
cache, cover
apparemment, apparently
traverse, crossing
tente, tent
suprême, supreme
pierrot, sparrow
noyau, nucleus
cherché, sought
beurre, butter
venez, just
traiter, treat
bizarre, weird
souffrance, suffering
comprenait, included
collège, college
villages, villages
repose, based
inférieure, lower
chimiques, chemical
rit, laughs
révolutionnaire, revolutionary
débat, debate
mines, mines
catholique, Catholic
appliquer, apply
troupe, troop
syndicats, unions
saisit, captures
poil, hair
disparition, disappearance
alexis, alexis
normalement, normally
habitudes, habits
plastique, plastic
innombrables, countless
asie, Asia
aie, have
soif, thirst
savants, scholars
remplacer, replace
proches, close
paraissent, appear
olga, olga
exposé, exposed
clef, key
favorable, favorable
essais, tests
chimie, chemistry
adieu, farewell
marqué, marked
baiser, kiss
statistiques, statistics
tendu, tense
active, active
futur, future
