qué what
datos data
escuchas listen
acaban just
crédito credit
méxico Mexico
tirar pull
nadar swim
maleta suitcase
personaje character
compartir share
flor flower
resolver solve
humo smoke
váyanse depart out
vivimos live
maneras ways
sombra shadow
necesitar need
pasos steps
errores errors
descubrir discover
hazme let me
asqueroso disgusting
promesa promise
favorito favorite
hitler hitler
jason jason
fueran were
útil useful
confío I trust
hermanas sisters
acabamos just
mostrar show
alan alan
impresión print
mina mine
colega colleague
nació was born
máximo maximum
respira breathe
precisamente precisely
cuáles which
fecha date
encuentre find
prisioneros prisoners
salí I left
vivido lived
matt matt
visión vision
sorprende surprising
magnífico great
bombas pumps
dispara shoots
preguntarte ask
nación nation
moda fashion
ponen get
servir serve
tierras land
canta sings
despierto awake
refiere concerns
tratado treaty
jean jean
suelta Loose
ocupada occupied
importaría mind
aguanta hold
pasaba passed
sótano basement
cambió changed
preocupada concerned
escaleras stairs
paquete package
julio July
puro pure
amy amy
dijera said
guión script
jueves Thursday
amanecer dawn
manda commands
ganó won
búsqueda search
pienses think
susan susan
comiendo eating
caza hunting
tengamos we
plato dish
fila row
sara sara
completa complete
fresco fresh
rodillas lap
distinto different
phil phil
calla silent
computadora computer
marie marie
bolso bag
daniel daniel
revolución revolution
odia hates
responder answer
salgo I go
peces fish
imaginar imagine
ira anger
chino Chinese
entrevista interview
hablarle talk
despacho office
clara clear
complicado complicated
llegan get
matando killing
castigo punishment
casualidad chance
conseguiste got
quieran want
compromiso commitment
hierba grass
llevarte take
título title
tele TV
perdimos lost
piano piano
vendría would
controlar control
verlos see
saltar jump
sabéis know
deme deme
víctimas victims
preparados prepared
concierto concert
pidiendo asking
buscas looking
parada stop
olvide Remember
decidir decide
seguido continued
visitar visit
decidí I decided
lady Lady
martes Tuesday
trabajos work
pagan pay
serlo be
documentos documents
okay okay
juntas together
com com
medianoche midnight
desearía I would like
propias own
treinta thirty
actitud attitude
escalera ladder
ayudará help
amado beloved
altura height
coches Car
mirad look
barry barry
acepto I accept
nacido born
equivocada wrong
creemos we
resultados results
soportar bear
naturalmente naturally
tetas tits
metas goals
esperaré wait
preguntarle ask
pedazos pieces
alerta alert
prometido promised
deseos wishes
llamarme call
bruja witch
pieza piece
asco disgust
sección section
preferiría would rather
lisa smooth
envía sends
hubieran had
quita off
tomen take
empezando starting
copia copy
clave key
dulces sweet
hecha made
seres beings
kim kim
pagado paid
trataba was
impresionante impressive
laura laura
trabajado worked
eric eric
brown brown
suicidio suicide
encontraré find
estemos we
piscina pool
dejarte let
elegido elected
estudios studies
comité committee
especiales special
volando flying
grado degree
aventura adventure
ruta route
agencia agency
reputación reputation
guía guide
vais going
puerto port
digan say
ponerme get
caro expensive
elegante elegant
vuelvan back
convirtió became
ladrones thieves
adam adam
pensamientos thinking
interesado interested
gasolina gasoline
encargo order
rompió broke
rusia Russia
fiestas parties
cabezas heads
acusado accused
convierte becomes
pasión passion
perdida loss
anne anne
mantiene maintains
responde responds
salen out
buscan search
intentó tried
lágrimas tears
página page
pasta pasta
frankie frankie
claramente clearly
servicios services
encanto charm
damos We
nuevamente newly
verán will
auxilio help
fotografía photography
gustado like
rica rich
elizabeth elizabeth
urgente urgent
paraíso paradise
respuestas answers
entrenamiento training
intentaré try
escritor writer
llegaste did you
bendiga bless
noble noble
vaca cow
imágenes imagery
rata rat
casados married
regalos gifts
templo temple
llamamos call
encantada Haunted
disparó shot
abandonar leave
paliza beating
atrapado trapped
tomamos we
pagaré promissory note
kilos kilos
caras faces
aviso notice
curiosidad curiosity
sed thirst
sales salts
cigarrillos cigarettes
siguiendo following
debiste You should
océano ocean
japón Japan
éstos they
jugador player
territorio territory
grados degrees
llegando coming
enseñó taught
recibí received
extranjero foreign
permitir allow
cómodo comfortable
poderoso powerful
acabe end
perdiste lost
llevarme take
prisionero prisoner
prometí promised
ambulancia ambulance
rusos Russian
sacado taken
ayudarlo help
posibilidades possibilities
impuestos taxation
encontrarlo find
suficientes sufficient
adoro I love
estuvimos were
cámaras cameras
acceso access
miro I look
conocimiento knowledge
cruzar cross
campaña campaign
apetece want
pasillo corridor
imaginación imagination
terry terry
popular popular
medios media
sientas feel
darles them
secundaria secondary
instante time
últimas last
mate matt
excusa excuse
particular particular
moral moral
mayores more
decírtelo tell
líneas lines
instituto institute
existen there
obvio obvious
mover move
autoridad authority
escribí I wrote
alarma alarm
fácilmente easily
quédese stay
campos fields
arroz rice
sabia wise
escapó escaped
sufrir suffer
preguntado asked
chiste joke
subtítulos subtitles
celular cellular
armario cabinet
esposas handcuffs
traes bring
pasen pass
dick dick
parezca seems
seamos we
casarte marry
taylor taylor
aprendido learned
registro record
divorcio divorce
johnson johnson
pacientes patients
misterio mystery
dirás say
recompensa reward
actriz actress
piedad piety
descubierto uncovered
adios bye
ambas both
ruso Russian
déjala let
mueva move
mantén hold
jackson jackson
garganta throat
traiga bring
serpiente snake
crisis crisis
molesto annoying
jenny jenny
terreno ground
junta board
fiebre fever
faltan missing
enfrente opposite
berlín berlin
piedras stones
bolas balls
pene penis
city city
apareció appeared
asistente assistant
compró bought
sacó took
meta goal
caramba wow
contesta answers
veas see
firmar sign
creas Believe
vuestros your
maestra teacher
anterior previous
comprado purchased
tráfico traffic
cable cable
dias days
cubierta cover
condición condition
volverás return
huh huh
podrán can
hablarte talk
pata leg
dra dra
nací I was born
paredes walls
cambios changes
leyendo reading
italia Italy
entrega delivery
coma coma
sally sally
ganador winner
mírate look at you
preocuparse worry
igualmente equally
abogados lawyers
golpes shock
museo museum
cuán how
lograr achieve
llamaste you called
regresó back
joyas jewelry
entendí understood
tontos Fools
emily emily
ciertamente certainly
partida game
zorra fox
biblia Bible
puestos posts
veneno venom
celda cell
enseñar teach
mostraré show
cáncer cancer
lou lou
queríamos wanted
entienden understand
botas boots
roca rock
áfrica Africa
encuentran are
adorable adorable
conocimos met
combustible fuel
querrá want
luke luke
hmm hmm
comercial commercial
reales real
alegre cheerful
bebiendo drinking
kelly kelly
pesado heavy
ambiente environment
irán Iran
ventanas windows
està this
escuchaste heard
dudas doubts
recuerde remember
raza race
wilson wilson
prohibido prohibited
sucedido happened
pájaros birds
sabían knew
correcta correct
distrito district
experto expert
traté I tried
poca little
rescate rescue
señales signals
valle valley
costumbre custom
edward edward
metro metro
deseas want
decidió decided
circunstancias circumstances
cuantas few
suceder happen
llevarlo take
carter carter
circo circus
porquería filth
encantan love
podían could
atacar attack
corazones hearts
producción production
parezco look
privada Private
dejará will
asustada scared
repito repeat
marco framework
letra letter
ciento hundred
decente Decent
cuadro table
ponerse get
echa check
cargos charges
deuda debt
vuelven back
saludos regards
estarías 'd
ayudante assistant
rachel rachel
aprendí learned
ilegal illegal
rumbo course
extraños foreign
comprendes understand
aldea village
pensamiento thought
volvemos back
juan John
podíamos could
ayudarnos help
cuéntame tell me
trató treated
adivina guess
patio patio
hijas daughters
llames call
ciertas some
reír laugh
ryan ryan
comportamiento behavior
albert albert
ron rum
recibió received
ducha shower
exterior outside
explosión explosion
vegas vegas
civil civil
crecer grow
regresaré return
organización organization
discúlpame I'm sorry
probable likely
intentas try
conocerlo know
salsa sauce
apuestas Bets
plaza square
pondrá will
bandera flag
asusta scary
fíjate look
rick rick
explicación explanation
conductor conductor
fantasmas Ghosts
preparar prepare
mentir lie
hagámoslo let's
camina walking
maggie maggie
permítame let me
lentamente slow
escritorio desk
homicidio homicide
encontrará find
instrucciones instructions
biblioteca library
matará kill
mayo May
desagradable unpleasant
éstas they
echo miss
presentar present
nacimiento birth
emocionante exciting
buscamos we
tranquilos quiet
colores colors
juventud youth
colina hill
sentimiento feeling
miss Miss
cementerio cemetery
quince fifteen
cajas boxes
orgullosa proud
arresto arrest
tendrías would have
sesión session
pantalla screen
apellido surname
miller miller
olvidó forgot
aliento breath
baila dance
incendio fire
actores actors
sacaste did you get
rápida Quick
arreglado arranged
condado county
tono tone
usan use
ocurra occurs
estupidez stupidity
ponerte get
salta jumps
práctica practice
alquiler hire
unión union
gritando screaming
periodista journalist
francos Franks
diamantes diamonds
willie willie
montar mount
argenteam argenteam
quedes stay
máquinas machines
guardar save
joseph joseph
pensaste thought
entren enter
federal federal
huevo egg
españa Spain
trajiste brought
límite limit
alas wings
usado used
traidor traitor
motivos reasons
cierre closure
difíciles difficult
lento slow
jesse jesse
grace grace
ocurrir occur
afortunado lucky
tim tim
equipaje luggage
morirá die
mismas same
dirige directed
cerdos pigs
habitaciones Room
doctora Dr.
león lion
matan kill
ciudadanos citizens
punta tip
charla chat
gilipollas asshole
pelotas balls
park park
gané won
poderes powers
aparentemente apparently
pusieron put
esperado expected
chan chan
barcos boats
sofá sofa
jackie jackie
betty betty
asesinatos murders
sentarse sit
viniendo coming
vende sold
salvó saved
acepta accepted
trabajadores workers
julia julia
von von
temas issues
pasaron passed
sugiero suggest
king king
demostrar show
wow wow
comprender understand
gigante giant
suponía supposed
haberle him
leyenda legend
criminales criminal
sucia dirty
italiano Italian
empezado started
celebrar celebrate
espía spy
mac mac
anuncio ad
gorda fat woman
pánico panic
demasiada Too
absurdo absurd
botón button
gordon gordon
ayudaré help
patrón pattern
vinimos we came
rumores hearsay
despertar awakening
eva Eve
coincidencia coincidence
mental mental
carácter character
permanecer remain
man man
bebés Babies
decisiones decisions
español Spanish
llévame take me
detenido arrested
quedarnos stay
ann ann
competencia competition
barato cheap
martha martha
sabría know
tratamiento treatment
sincero sincere
indio Indian
carlos carlos
tíos uncles
atreves Dare
